Date,Time,Dryer Air Temperature,Cooler Air Temperature,Air Flow Rate,Wet Product Feed Rate,Product Inlet Temperature,Residence Time,Vacuum,Steam Pressure,Fan Speed,Product Density,Final Product Temp,Final Moisture (%H2O),Operating Regime,Disturbance State,Data Source
2026-07-14,21:00:00,176.376678,28.620651,23689.187500,25.411697,62.689777,24.626358,47.754421,8.129782,1314.369629,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:00:05,176.385788,28.620441,23680.376953,25.407175,62.688309,24.624556,47.741173,8.129364,1314.332886,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:00:10,176.363815,28.613327,23674.935547,25.408672,62.687119,24.624870,47.739170,8.127553,1314.398804,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:00:15,176.356018,28.607317,23668.730469,25.407364,62.693336,24.628466,47.744102,8.126785,1314.421509,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:00:20,176.342514,28.597176,23673.617188,25.400085,62.694260,24.629446,47.752525,8.124506,1314.457520,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:00:25,176.344086,28.594431,23665.791016,25.401440,62.695248,24.633102,47.758980,8.125916,1314.066406,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:00:30,176.327896,28.603237,23667.240234,25.402494,62.688427,24.631653,47.762573,8.125188,1313.978394,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:00:35,176.328430,28.599560,23665.876953,25.404152,62.686798,24.633541,47.762596,8.124578,1313.972168,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:00:40,176.324036,28.602299,23667.740234,25.406662,62.686169,24.635088,47.772652,8.126087,1314.013672,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:00:45,176.311798,28.600992,23674.810547,25.404638,62.687420,24.635334,47.773815,8.127199,1314.033325,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:00:50,176.311539,28.603067,23679.351562,25.405519,62.686333,24.633923,47.769493,8.127458,1314.454468,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:00:55,176.317368,28.607327,23682.339844,25.406860,62.682484,24.633221,47.782200,8.129919,1314.381104,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:01:00,176.308701,28.608330,23678.898438,25.407608,62.678799,24.632252,47.777081,8.128173,1314.532104,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:01:05,176.300522,28.608839,23671.724609,25.404510,62.675377,24.633427,47.771484,8.129534,1314.264526,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:01:10,176.293472,28.614679,23671.558594,25.399319,62.672527,24.631023,47.764801,8.128991,1314.173584,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:01:15,176.297531,28.617653,23675.234375,25.401823,62.669239,24.628374,47.780403,8.132227,1314.505005,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:01:20,176.283127,28.617361,23671.628906,25.403351,62.657768,24.630426,47.767826,8.130058,1314.501221,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:01:25,176.282379,28.623201,23683.484375,25.402283,62.659191,24.631281,47.789001,8.133463,1314.614136,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:01:30,176.277176,28.629854,23694.849609,25.403078,62.663776,24.629175,47.806187,8.133698,1314.979492,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:01:35,176.284088,28.634544,23686.941406,25.401648,62.662014,24.629520,47.803516,8.136046,1314.548096,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:01:40,176.270782,28.638090,23690.652344,25.399759,62.659344,24.626734,47.814411,8.135973,1314.669189,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:01:45,176.280457,28.637566,23699.539062,25.396360,62.658947,24.634068,47.818813,8.135654,1315.112183,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:01:50,176.257004,28.635000,23706.810547,25.400080,62.654377,24.633429,47.813889,8.135878,1315.322754,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:01:55,176.286682,28.637094,23722.429688,25.399042,62.657547,24.633938,47.833683,8.137621,1315.625854,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:02:00,176.283905,28.631824,23728.099609,25.400347,62.658981,24.636162,47.838341,8.139295,1315.913208,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:02:05,176.281067,28.625385,23746.449219,25.401405,62.662121,24.639807,47.856716,8.137743,1316.548828,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:02:10,176.292313,28.629250,23741.130859,25.406857,62.659271,24.641859,47.862606,8.138247,1316.593018,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:02:15,176.297119,28.628935,23738.662109,25.404888,62.664448,24.639162,47.862061,8.137979,1316.331055,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:02:20,176.292938,28.625195,23747.119141,25.395971,62.662956,24.642916,47.867523,8.137347,1316.271484,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:02:25,176.309753,28.621334,23750.152344,25.393225,62.658081,24.645451,47.872559,8.137736,1316.365234,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:02:30,176.299286,28.614462,23756.685547,25.394688,62.657745,24.641781,47.879158,8.138507,1316.418335,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:02:35,176.311691,28.621119,23759.123047,25.392628,62.654186,24.644262,47.876553,8.142365,1316.294800,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:02:40,176.306061,28.621557,23765.119141,25.390415,62.660439,24.649580,47.882080,8.140731,1316.178955,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:02:45,176.313629,28.617128,23764.347656,25.391500,62.665123,24.649628,47.890202,8.140736,1315.784790,,,,normal-low,normal,synthetic_prototype
2026-07-14,21:02:50,176.290970,28.625069,23769.814453,25.399317,62.665070,24.649027,47.892387,8.139079,1316.266479,,,,normal-low,normal,synthetic_prototype
