Date,Time,Dryer Air Temperature,Cooler Air Temperature,Air Flow Rate,Wet Product Feed Rate,Product Inlet Temperature,Residence Time,Vacuum,Steam Pressure,Fan Speed,Product Density,Final Product Temp,Final Moisture (%H2O),Operating Regime,Disturbance State,Data Source
2026-07-15,00:00:00,176.208694,28.411581,23870.896484,26.396442,62.860775,24.465710,48.089325,8.314554,1326.942505,0.957513,49.491676,0.077512,normal-high,normal,synthetic_prototype_dashboard_demo
2026-07-15,00:00:05,176.201660,28.399700,23864.816406,26.396587,62.863155,24.461731,48.085472,8.314011,1326.830444,,,,normal-high,normal,synthetic_prototype_dashboard_demo
2026-07-15,00:00:10,176.213745,28.392363,23864.939453,26.394699,62.856689,24.461519,48.089935,8.312624,1327.058594,,,,normal-high,normal,synthetic_prototype_dashboard_demo
2026-07-15,00:00:15,176.220352,28.391403,23858.972656,26.395821,62.854107,24.459015,48.079556,8.312549,1326.895386,,,,normal-high,normal,synthetic_prototype_dashboard_demo
2026-07-15,00:00:20,176.227005,28.389517,23861.015625,26.393372,62.852322,24.461630,48.087383,8.312885,1326.982056,,,,normal-high,normal,synthetic_prototype_dashboard_demo
2026-07-15,00:00:25,176.212128,28.389606,23857.849609,26.388088,62.845623,24.463280,48.081440,8.313014,1327.120605,,,,normal-high,normal,synthetic_prototype_dashboard_demo
2026-07-15,00:00:30,176.236816,28.390394,23850.457031,26.389639,62.846786,24.467489,48.076862,8.314981,1326.863159,,,,normal-high,normal,synthetic_prototype_dashboard_demo
2026-07-15,00:00:35,176.259445,28.399166,23847.773438,26.391706,62.846359,24.464573,48.076614,8.318334,1326.861694,,,,normal-high,normal,synthetic_prototype_dashboard_demo
2026-07-15,00:00:40,176.278900,28.394203,23841.462891,26.389347,62.852356,24.467991,48.064777,8.319905,1326.243896,,,,normal-high,normal,synthetic_prototype_dashboard_demo
2026-07-15,00:00:45,176.286102,28.393049,23832.281250,26.388357,62.847221,24.470284,48.049088,8.320173,1326.242676,,,,normal-high,normal,synthetic_prototype_dashboard_demo
