Sample Timestamp,dryer_air_temperature,cooler_air_temperature,air_flow_rate,wet_product_feed_rate,product_inlet_temperature,residence_time,vacuum,steam_pressure,fan_speed,product_density,final_product_temp,temperature_drop,air_product_delta,air_per_feed,steam_temp_interaction,heating_index,Final Moisture (%H2O)
2026-04-16 02:00:00,176.386871,28.788322,24080.34375,26.614941,62.906261,24.438337,48.14312,8.348623,1333.375977,0.957827,48.819279,127.567592,113.48061,904.7678802,1472.587488,4310.601796,0.078586
2026-04-16 04:00:00,176.325211,29.371353,24131.47461,26.710299,63.091366,24.397861,48.377773,8.376637,1339.708374,0.957757,49.183418,127.141793,113.233845,903.4520583,1477.012286,4301.957989,0.077713
2026-04-16 06:00:00,176.298935,30.183477,24223.72266,26.746771,63.173382,24.372213,48.470203,8.392202,1340.537598,0.957155,49.281967,127.016968,113.125553,905.669049,1479.536275,4296.795195,0.07781
2026-04-16 08:00:00,176.333313,30.894432,24237.87891,26.783215,63.224796,24.393484,48.433044,8.335905,1342.057739,0.957491,48.769199,127.564114,113.108517,904.9652518,1469.897746,4301.383849,0.075195
2026-04-16 10:00:00,176.263535,31.169731,24271.0293,26.897886,63.118942,24.396927,48.482235,8.400537,1346.523071,0.958166,48.747028,127.516507,113.144593,902.3396596,1480.708348,4300.288596,0.079999
2026-04-16 12:00:00,176.473114,31.250885,24227.45117,26.857407,63.152489,24.399609,48.446285,8.384978,1344.686035,0.958432,48.606022,127.867092,113.320625,902.0770759,1479.723178,4305.874981,0.080207
2026-04-16 14:00:00,176.241455,30.968504,24246.52344,26.726658,63.149742,24.383379,48.351727,8.378627,1340.802002,0.958056,48.691959,127.549496,113.091713,907.2037154,1476.661413,4297.362193,0.07794
2026-04-16 16:00:00,176.405411,30.277584,24125.92773,26.699524,62.956348,24.418732,48.253433,8.367058,1335.932251,0.956924,48.726658,127.678753,113.449063,903.6089083,1475.994305,4307.596455,0.077658
2026-04-16 18:00:00,176.324493,29.456091,24195.08594,26.644718,62.896484,24.375372,48.35281,8.359357,1338.300415,0.957632,49.112465,127.212028,113.428009,908.0631267,1473.959385,4297.97511,0.075119
2026-04-16 20:00:00,176.510422,28.734118,24148.16602,26.502089,62.85833,24.456079,48.195179,8.329347,1336.339478,0.957691,49.265118,127.245304,113.652092,911.1797193,1470.216554,4316.752825,0.074977
2026-04-16 22:00:00,176.4991,28.665247,24070.51953,26.52993,62.922977,24.41116,48.341473,8.371675,1334.452759,0.95748,49.27776,127.22134,113.576123,907.29676,1477.593103,4308.54777,0.073605
2026-04-17 00:00:00,176.454132,28.525166,24170.92578,26.639818,62.908707,24.450617,48.32711,8.432204,1339.665649,0.957883,49.445759,127.008373,113.545425,907.3232325,1487.897238,4314.4124,0.078351
2026-04-17 02:00:00,176.592834,28.910326,24322.51172,26.717445,63.107113,24.395838,48.538937,8.377937,1345.085327,0.958256,49.075764,127.51707,113.485721,910.360692,1479.483638,4308.13017,0.076235
2026-04-17 04:00:00,176.47728,29.523249,24319.98828,26.73234,63.095036,24.437906,48.521164,8.415269,1346.1427,0.958052,49.162449,127.314831,113.382244,909.7590514,1485.103784,4312.73518,0.076066
2026-04-17 06:00:00,176.323853,30.221699,24251.08594,26.859503,63.170475,24.392082,48.406197,8.419275,1343.425049,0.958085,49.091751,127.232102,113.153378,902.8866222,1484.519007,4300.905881,0.077529
2026-04-17 08:00:00,176.416168,30.889532,24310.65039,26.912262,63.348148,24.316914,48.705166,8.425468,1348.686768,0.957581,49.073708,127.34246,113.06802,903.3298796,1486.388778,4289.896785,0.078076
2026-04-17 10:00:00,176.317459,31.16769,24269.53125,26.952225,63.284771,24.397326,48.552994,8.393517,1347.46814,0.958036,49.056282,127.261177,113.032688,900.4648503,1479.92359,4301.674527,0.079068
2026-04-17 12:00:00,176.558319,31.250324,24256.86133,26.884388,63.248558,24.358248,48.484856,8.439723,1345.715698,0.957406,48.852242,127.706077,113.309761,902.2657063,1490.103306,4300.651321,0.076784
2026-04-17 14:00:00,176.365723,30.813585,24352.64062,26.786606,63.140209,24.455723,48.484932,8.384439,1344.190186,0.957999,48.924644,127.441079,113.225514,909.1349843,1478.727646,4313.151268,0.077261
2026-04-17 16:00:00,176.342392,30.234018,24260.42383,26.660469,63.027523,24.41284,48.505516,8.337874,1343.313232,0.957978,49.108883,127.233509,113.314869,909.9773837,1470.320645,4305.018601,0.076705
2026-04-17 18:00:00,176.327713,29.447462,24379.29883,26.606115,62.903782,24.474575,48.542698,8.339755,1347.247437,0.958246,49.113129,127.214584,113.423931,916.3043469,1470.529926,4315.545836,0.074501
2026-04-17 20:00:00,176.587875,28.870155,24221.28516,26.567797,62.968945,24.436901,48.594498,8.300561,1338.381592,0.958064,49.24313,127.344745,113.61893,911.6783434,1465.778428,4315.260419,0.07411
2026-04-17 22:00:00,176.680649,28.455822,24284.05859,26.653959,62.788349,24.437847,48.43655,8.36058,1342.552856,0.958129,49.162891,127.517758,113.8923,911.0863641,1477.1527,4317.694668,0.075125
2026-04-18 00:00:00,176.746307,28.476175,24182.51172,26.564375,62.947231,24.423946,48.362766,8.392308,1336.205688,0.957765,49.499271,127.247036,113.799076,910.3361822,1483.309446,4316.842258,0.073817
2026-04-18 02:00:00,176.296097,28.856359,24118.5,26.677938,62.964123,24.465141,48.310162,8.387729,1338.80835,0.956896,49.190948,127.105149,113.331974,904.0616258,1478.723885,4313.108871,0.074241
2026-04-18 04:00:00,176.407394,29.36669,24121.24414,26.722265,63.215981,24.424332,48.340771,8.378979,1337.118408,0.958124,49.464874,126.94252,113.191413,902.6646559,1478.11385,4308.632758,0.075769
2026-04-18 06:00:00,176.284805,30.327991,24289.86328,26.790712,63.197079,24.39213,48.462418,8.37723,1345.865234,0.958259,49.154762,127.130043,113.087726,906.6523981,1476.778357,4299.961881,0.080051
